transaction_date,value_date,description,reference,debit,credit,balance
2013-08-21,2013-08-21,Business materials,REF75754841,458.39,0.0,4907.53
2013-08-22,2013-08-22,Business materials,REF35909705,575.62,0.0,4331.91
2013-08-24,2013-08-24,Tools expense,REF92960326,44.35,0.0,4287.56
2013-08-26,2013-08-26,Fuel purchase,REF21285656,391.36,0.0,3896.2
2013-08-27,2013-08-27,Fuel purchase,REF72307184,293.22,0.0,3602.98
2013-08-27,2013-08-27,Business materials,REF45972421,1216.21,0.0,2386.77
2013-08-30,2013-08-30,"Service payment - Nelson, Parks and Campbell",REF14618213,0.0,1460.33,3847.1
2013-08-30,2013-08-30,Payment from Porter Inc,REF36079756,0.0,804.17,4651.27
2013-08-30,2013-08-30,"Service payment - Mullins, Buckley and Hahn",REF94738811,0.0,1293.05,5944.32
2013-08-30,2013-08-30,Service payment - Abbott-Gomez,REF46714141,0.0,1683.35,7627.67
2013-08-30,2013-08-30,Payment from Roman-Gonzalez,REF94704854,0.0,1293.79,8921.46
2013-08-30,2013-08-30,Permits Licenses expense,REF18873397,21.37,0.0,8900.09
2013-09-02,2013-09-02,Subcontractors expense,REF44870133,1430.71,0.0,7469.38
2013-09-06,2013-09-06,Vehicle Maintenance expense,REF89734565,183.28,0.0,7286.1
2013-09-06,2013-09-06,Business materials,REF41883543,1006.33,0.0,6279.77
2013-09-10,2013-09-10,Fuel purchase,REF58017600,339.74,0.0,5940.03
2013-09-13,2013-09-13,Business materials,REF75946575,1259.82,0.0,4680.21
2013-09-14,2013-09-14,Business materials,REF20695087,692.23,0.0,3987.98
2013-09-15,2013-09-15,Project payment - Porter Inc,REF96357424,0.0,793.42,4781.4
2013-09-15,2013-09-15,"Project payment - Nelson, Parks and Campbell",REF42561241,0.0,1214.78,5996.18
2013-09-15,2013-09-15,Business insurance premium,REF44528651,225.84,0.0,5770.34
2013-09-15,2013-09-15,Payment from Roman-Gonzalez,REF83986822,0.0,807.12,6577.46
2013-09-17,2013-09-17,Business materials,REF98111460,1065.84,0.0,5511.62
2013-09-18,2013-09-18,Safety Equipment expense,REF48555927,109.09,0.0,5402.53
2013-09-19,2013-09-19,Tools expense,REF56473213,133.53,0.0,5269.0
2013-09-28,2013-09-28,Business materials,REF51951102,940.4,0.0,4328.6
2013-09-28,2013-09-28,Equipment Rental expense,REF91167464,417.24,0.0,3911.36
2013-09-30,2013-09-30,Invoice payment - Porter Inc,REF14293923,0.0,963.79,4875.15
2013-09-30,2013-09-30,"Invoice payment - Nelson, Parks and Campbell",REF99879445,0.0,1237.17,6112.32
2013-09-30,2013-09-30,Service payment - Roman-Gonzalez,REF24540440,0.0,945.93,7058.25
2013-09-30,2013-09-30,"Payment from Mullins, Buckley and Hahn",REF43604712,0.0,943.0,8001.25
2013-09-30,2013-09-30,Project payment - Abbott-Gomez,REF30713771,0.0,951.07,8952.32
2013-10-14,2013-10-14,Business materials,REF83030355,1306.56,0.0,7645.76
2013-10-15,2013-10-15,Project payment - Porter Inc,REF32187686,0.0,628.0,8273.76
2013-10-15,2013-10-15,Business insurance premium,REF63243334,212.25,0.0,8061.51
2013-10-15,2013-10-15,"Service payment - Mullins, Buckley and Hahn",REF38847889,0.0,946.95,9008.46
2013-10-15,2013-10-15,Service payment - Roman-Gonzalez,REF71777698,0.0,1143.53,10151.99
2013-10-15,2013-10-15,"Service payment - Nelson, Parks and Campbell",REF16040748,0.0,1339.23,11491.22
2013-10-21,2013-10-21,Business materials,REF11766247,569.02,0.0,10922.2
2013-10-21,2013-10-21,Vehicle Maintenance expense,REF42540178,190.22,0.0,10731.98
2013-10-22,2013-10-22,Safety Equipment expense,REF56445139,75.13,0.0,10656.85
2013-10-22,2013-10-22,Fuel purchase,REF25237547,336.71,0.0,10320.14
2013-10-23,2013-10-23,Business materials,REF27108099,787.82,0.0,9532.32
2013-10-25,2013-10-25,Tools expense,REF99067467,153.69,0.0,9378.63
2013-10-27,2013-10-27,Vehicle Maintenance expense,REF81635047,191.98,0.0,9186.65
2013-10-28,2013-10-28,Tools expense,REF94062096,95.64,0.0,9091.01
2013-10-30,2013-10-30,Invoice payment - Abbott-Gomez,REF47781620,0.0,1145.71,10236.72
2013-10-30,2013-10-30,Service payment - Porter Inc,REF59603218,0.0,595.36,10832.08
2013-10-30,2013-10-30,Payment from Roman-Gonzalez,REF78070380,0.0,933.49,11765.57
2013-10-30,2013-10-30,"Service payment - Mullins, Buckley and Hahn",REF97731193,0.0,786.82,12552.39
2013-10-30,2013-10-30,"Invoice payment - Nelson, Parks and Campbell",REF50670732,0.0,941.59,13493.98
2013-11-04,2013-11-04,Fuel purchase,REF48399252,212.1,0.0,13281.88
2013-11-12,2013-11-12,Tools expense,REF30195887,104.56,0.0,13177.32
2013-11-15,2013-11-15,Payment from Abbott-Gomez,REF28201515,0.0,946.16,14123.48
2013-11-15,2013-11-15,Business insurance premium,REF48182430,161.76,0.0,13961.72
2013-11-15,2013-11-15,Invoice payment - Porter Inc,REF16615328,0.0,684.16,14645.88
2013-11-15,2013-11-15,Payment from Roman-Gonzalez,REF19958431,0.0,667.94,15313.82
2013-11-15,2013-11-15,"Service payment - Nelson, Parks and Campbell",REF99711185,0.0,899.83,16213.65
2013-11-19,2013-11-19,Business materials,REF35469674,733.83,0.0,15479.82
2013-11-24,2013-11-24,Fuel purchase,REF56111118,278.68,0.0,15201.14
2013-11-25,2013-11-25,Permits Licenses expense,REF24787022,59.63,0.0,15141.51
2013-11-28,2013-11-28,Business materials,REF23777199,359.81,0.0,14781.7
2013-11-28,2013-11-28,Safety Equipment expense,REF49600905,99.47,0.0,14682.23
2013-11-30,2013-11-30,Project payment - Roman-Gonzalez,REF86211160,0.0,716.26,15398.49
2013-11-30,2013-11-30,Payment from Abbott-Gomez,REF67926987,0.0,806.57,16205.06
