transaction_date,value_date,description,reference,debit,credit,balance
2010-08-21,2010-08-21,Marketing expenses,REF13544123,135.83,0.0,4489.46
2010-08-26,2010-08-26,Internet and phone service,REF22599609,64.6,0.0,4424.86
2010-08-27,2010-08-27,Office supplies,REF28154078,33.36,0.0,4391.5
2010-08-28,2010-08-28,Office supplies,REF97752928,40.1,0.0,4351.4
2010-08-30,2010-08-30,Professional services,REF74990179,185.3,0.0,4166.1
2010-09-01,2010-09-01,Office supplies,REF55886218,38.79,0.0,4127.31
2010-09-02,2010-09-02,Internet and phone service,REF53350787,67.2,0.0,4060.11
2010-09-06,2010-09-06,Professional services,REF86317100,340.28,0.0,3719.83
2010-09-06,2010-09-06,Internet and phone service,REF46098890,85.58,0.0,3634.25
2010-09-07,2010-09-07,Marketing expenses,REF90236239,158.32,0.0,3475.93
2010-09-09,2010-09-09,Software subscription,REF13357901,136.65,0.0,3339.28
2010-09-12,2010-09-12,Office supplies,REF78083181,55.37,0.0,3283.91
2010-09-14,2010-09-14,Office supplies,REF72648845,51.4,0.0,3232.51
2010-09-15,2010-09-15,Service payment - Jackson-Wilcox,REF23267818,0.0,1370.48,4602.99
2010-09-15,2010-09-15,Project payment - Abbott-Harrison,REF26393805,0.0,1297.36,5900.35
2010-09-15,2010-09-15,Service payment - Gordon PLC,REF60474974,0.0,1269.1,7169.45
2010-09-15,2010-09-15,Business insurance premium,REF31322688,142.22,0.0,7027.23
2010-09-17,2010-09-17,Office supplies,REF33250426,89.71,0.0,6937.52
2010-09-23,2010-09-23,Training/conference,REF12704777,135.1,0.0,6802.42
2010-09-27,2010-09-27,Equipment purchase,REF77541705,80.84,0.0,6721.58
2010-10-01,2010-10-01,Internet and phone service,REF37725824,55.76,0.0,6665.82
2010-10-03,2010-10-03,Office supplies,REF26850210,90.73,0.0,6575.09
2010-10-06,2010-10-06,Training/conference,REF37979355,190.73,0.0,6384.36
2010-10-09,2010-10-09,Business travel,REF58196358,202.51,0.0,6181.85
2010-10-09,2010-10-09,Software subscription,REF94578395,172.34,0.0,6009.51
2010-10-10,2010-10-10,Marketing expenses,REF90658853,177.7,0.0,5831.81
2010-10-12,2010-10-12,Professional services,REF34042312,268.82,0.0,5562.99
2010-10-14,2010-10-14,Training/conference,REF19174331,130.77,0.0,5432.22
2010-10-15,2010-10-15,Business insurance premium,REF27173086,143.62,0.0,5288.6
2010-10-15,2010-10-15,Project payment - Gordon PLC,REF75720311,0.0,1287.38,6575.98
2010-10-15,2010-10-15,Service payment - Jackson-Wilcox,REF39542041,0.0,1634.72,8210.7
2010-10-15,2010-10-15,Invoice payment - Abbott-Harrison,REF40107988,0.0,1264.13,9474.83
2010-10-19,2010-10-19,Marketing expenses,REF64132217,333.35,0.0,9141.48
2010-10-26,2010-10-26,Office supplies,REF13105547,71.21,0.0,9070.27
2010-11-03,2010-11-03,Professional services,REF31528632,318.52,0.0,8751.75
2010-11-03,2010-11-03,Office supplies,REF72126145,81.71,0.0,8670.04
2010-11-03,2010-11-03,Marketing expenses,REF98230331,264.64,0.0,8405.4
2010-11-09,2010-11-09,Software subscription,REF44148245,169.41,0.0,8235.99
2010-11-10,2010-11-10,Business travel,REF83510613,148.85,0.0,8087.14
2010-11-10,2010-11-10,Marketing expenses,REF44855583,236.06,0.0,7851.08
2010-11-10,2010-11-10,Equipment purchase,REF30504184,78.33,0.0,7772.75
2010-11-13,2010-11-13,Office supplies,REF41755854,54.16,0.0,7718.59
2010-11-15,2010-11-15,Service payment - Jackson-Wilcox,REF53342438,0.0,1436.61,9155.2
2010-11-15,2010-11-15,Project payment - Gordon PLC,REF56654274,0.0,1541.01,10696.21
2010-11-15,2010-11-15,Payment from Abbott-Harrison,REF50525346,0.0,1277.47,11973.68
2010-11-15,2010-11-15,Business insurance premium,REF92876214,135.66,0.0,11838.02
2010-11-19,2010-11-19,Office supplies,REF72103799,67.6,0.0,11770.42
2010-11-21,2010-11-21,Equipment purchase,REF15863446,100.06,0.0,11670.36
2010-11-23,2010-11-23,Training/conference,REF69530021,81.31,0.0,11589.05
2010-11-24,2010-11-24,Training/conference,REF52067347,104.51,0.0,11484.54
2010-12-01,2010-12-01,Office supplies,REF94218924,52.99,0.0,11431.55
2010-12-05,2010-12-05,Office supplies,REF70191726,43.07,0.0,11388.48
2010-12-08,2010-12-08,Office supplies,REF56825763,23.33,0.0,11365.15
2010-12-09,2010-12-09,Software subscription,REF31164799,160.53,0.0,11204.62
2010-12-09,2010-12-09,Marketing expenses,REF82291735,131.3,0.0,11073.32
2010-12-09,2010-12-09,Internet and phone service,REF17487013,64.76,0.0,11008.56
2010-12-13,2010-12-13,Business travel,REF37623830,190.51,0.0,10818.05
2010-12-15,2010-12-15,Service payment - Jackson-Wilcox,REF49380774,0.0,1277.13,12095.18
2010-12-15,2010-12-15,Professional services,REF37236370,112.19,0.0,11982.99
2010-12-15,2010-12-15,Project payment - Gordon PLC,REF46042542,0.0,988.94,12971.93
2010-12-15,2010-12-15,Business insurance premium,REF22288222,104.35,0.0,12867.58
2010-12-18,2010-12-18,Office supplies,REF13151421,50.07,0.0,12817.51
2010-12-19,2010-12-19,Training/conference,REF92832128,97.65,0.0,12719.86
2010-12-25,2010-12-25,Office supplies,REF40805518,26.22,0.0,12693.64
2010-12-30,2010-12-30,Internet and phone service,REF30498382,53.07,0.0,12640.57
2011-01-01,2011-01-01,Office supplies,REF63967534,22.25,0.0,12618.32
2011-01-02,2011-01-02,Business travel,REF62896486,119.04,0.0,12499.28
2011-01-05,2011-01-05,Professional services,REF45682624,252.27,0.0,12247.01
2011-01-07,2011-01-07,Business travel,REF68871416,109.94,0.0,12137.07
2011-01-09,2011-01-09,Software subscription,REF52800817,116.98,0.0,12020.09
2011-01-10,2011-01-10,Office supplies,REF45897195,43.82,0.0,11976.27
2011-01-12,2011-01-12,Professional services,REF97589410,323.71,0.0,11652.56
2011-01-15,2011-01-15,Payment from Gordon PLC,REF16842326,0.0,1056.56,12709.12
2011-01-15,2011-01-15,Service payment - Abbott-Harrison,REF86750779,0.0,879.52,13588.64
2011-01-15,2011-01-15,Payment from Jackson-Wilcox,REF24663082,0.0,1086.01,14674.65
2011-01-15,2011-01-15,Business insurance premium,REF98725453,94.53,0.0,14580.12
2011-01-17,2011-01-17,Marketing expenses,REF59801090,205.89,0.0,14374.23
2011-01-20,2011-01-20,Internet and phone service,REF80879518,85.99,0.0,14288.24
2011-01-26,2011-01-26,Professional services,REF89871908,206.9,0.0,14081.34
2011-01-30,2011-01-30,Office supplies,REF16288905,44.16,0.0,14037.18
2011-02-05,2011-02-05,Business travel,REF82780755,107.99,0.0,13929.19
2011-02-07,2011-02-07,Professional services,REF46421355,245.83,0.0,13683.36
2011-02-09,2011-02-09,Software subscription,REF56871986,152.91,0.0,13530.45
2011-02-10,2011-02-10,Business travel,REF85978628,129.4,0.0,13401.05
2011-02-12,2011-02-12,Professional services,REF95051140,230.93,0.0,13170.12
2011-02-15,2011-02-15,Business insurance premium,REF78079604,102.44,0.0,13067.68
2011-02-15,2011-02-15,Payment from Abbott-Harrison,REF61659160,0.0,1071.62,14139.3
2011-02-15,2011-02-15,Service payment - Gordon PLC,REF18622780,0.0,931.39,15070.69
2011-02-15,2011-02-15,Project payment - Jackson-Wilcox,REF94644712,0.0,1127.61,16198.3
2011-02-16,2011-02-16,Internet and phone service,REF40406073,75.5,0.0,16122.8
2011-02-17,2011-02-17,Internet and phone service,REF91762907,86.85,0.0,16035.95
2011-02-19,2011-02-19,Training/conference,REF32304243,89.31,0.0,15946.64
2011-02-24,2011-02-24,Business travel,REF96107852,68.55,0.0,15878.09
2011-02-24,2011-02-24,Marketing expenses,REF72725833,186.97,0.0,15691.12
2011-02-28,2011-02-28,Office supplies,REF55891342,46.81,0.0,15644.31
2011-03-03,2011-03-03,Training/conference,REF25948618,130.37,0.0,15513.94
2011-03-06,2011-03-06,Office supplies,REF78412133,58.44,0.0,15455.5
2011-03-09,2011-03-09,Software subscription,REF93199668,176.71,0.0,15278.79
2011-03-15,2011-03-15,Business insurance premium,REF80349736,120.13,0.0,15158.66
2011-03-15,2011-03-15,Service payment - Abbott-Harrison,REF63954744,0.0,1267.65,16426.31
2011-03-15,2011-03-15,Invoice payment - Jackson-Wilcox,REF48823815,0.0,1598.74,18025.05
2011-03-30,2011-03-30,Office supplies,REF90874058,61.57,0.0,17963.48
2011-03-31,2011-03-31,Business travel,REF79007557,206.44,0.0,17757.04
2011-03-31,2011-03-31,Marketing expenses,REF78265041,262.41,0.0,17494.63
2011-04-02,2011-04-02,Business travel,REF95293769,165.94,0.0,17328.69
2011-04-04,2011-04-04,Office supplies,REF57148865,61.75,0.0,17266.94
2011-04-05,2011-04-05,Office supplies,REF97847759,57.68,0.0,17209.26
2011-04-09,2011-04-09,Software subscription,REF43124057,145.79,0.0,17063.47
2011-04-10,2011-04-10,Professional services,REF73264117,305.92,0.0,16757.55
2011-04-14,2011-04-14,Business travel,REF59302124,211.51,0.0,16546.04
2011-04-15,2011-04-15,Business insurance premium,REF81482455,125.93,0.0,16420.11
2011-04-15,2011-04-15,Project payment - Gordon PLC,REF59649682,0.0,1150.94,17571.05
2011-04-15,2011-04-15,Project payment - Jackson-Wilcox,REF82264794,0.0,1543.42,19114.47
2011-04-15,2011-04-15,Invoice payment - Abbott-Harrison,REF43252372,0.0,973.33,20087.8
2011-04-15,2011-04-15,Office supplies,REF71958332,67.01,0.0,20020.79
2011-04-17,2011-04-17,Internet and phone service,REF44994429,58.38,0.0,19962.41
2011-04-28,2011-04-28,Office supplies,REF90229448,50.93,0.0,19911.48
2011-04-30,2011-04-30,Professional services,REF89095200,259.62,0.0,19651.86
2011-05-03,2011-05-03,Office supplies,REF30389356,78.81,0.0,19573.05
2011-05-03,2011-05-03,Professional services,REF29066253,299.05,0.0,19274.0
2011-05-04,2011-05-04,Professional services,REF74207028,317.29,0.0,18956.71
2011-05-07,2011-05-07,Equipment purchase,REF37326137,110.93,0.0,18845.78
2011-05-09,2011-05-09,Software subscription,REF21662148,141.71,0.0,18704.07
2011-05-09,2011-05-09,Equipment purchase,REF69554735,106.95,0.0,18597.12
