transaction_date,value_date,description,reference,debit,credit,balance
2022-08-18,2022-08-18,Project payment - Customer_0039,REF53941066,0.0,167.41,4250.27
2022-08-18,2022-08-18,Project payment - Customer_0004,REF30517855,0.0,52.99,4303.26
2022-08-18,2022-08-18,Service payment - Customer_0027,REF87825272,0.0,80.83,4384.09
2022-08-18,2022-08-18,Payment from Customer_0089,REF73252836,0.0,131.63,4515.72
2022-08-18,2022-08-18,Invoice payment - Customer_0080,REF20313357,0.0,46.37,4562.09
2022-08-18,2022-08-18,Invoice payment - Customer_0055,REF77965701,0.0,45.4,4607.49
2022-08-18,2022-08-18,Project payment - Customer_0048,REF41813930,0.0,112.82,4720.31
2022-08-18,2022-08-18,Service payment - Customer_0062,REF25752789,0.0,57.63,4777.94
2022-08-18,2022-08-18,Project payment - Customer_0040,REF77007476,0.0,44.28,4822.22
2022-08-19,2022-08-19,Invoice payment - Customer_0005,REF95272597,0.0,34.29,4856.51
2022-08-19,2022-08-19,Project payment - Customer_0039,REF50385949,0.0,90.82,4947.33
2022-08-19,2022-08-19,Service payment - Customer_0076,REF14638709,0.0,10.94,4958.27
2022-08-19,2022-08-19,Project payment - Customer_0023,REF17554142,0.0,127.46,5085.73
2022-08-19,2022-08-19,Payment from Customer_0078,REF58862775,0.0,155.21,5240.94
2022-08-19,2022-08-19,Payment from Customer_0080,REF52020282,0.0,45.02,5285.96
2022-08-20,2022-08-20,Project payment - Customer_0004,REF77503074,0.0,54.9,5340.86
2022-08-20,2022-08-20,Invoice payment - Customer_0073,REF43957999,0.0,86.34,5427.2
2022-08-20,2022-08-20,Service payment - Customer_0040,REF39218627,0.0,40.53,5467.73
2022-08-20,2022-08-20,Payment from Customer_0062,REF73468979,0.0,69.67,5537.4
2022-08-20,2022-08-20,Payment from Customer_0067,REF53981498,0.0,108.66,5646.06
2022-08-20,2022-08-20,Project payment - Customer_0095,REF71278606,0.0,81.95,5728.01
2022-08-20,2022-08-20,Service payment - Customer_0039,REF63205172,0.0,137.85,5865.86
2022-08-20,2022-08-20,Service payment - Customer_0006,REF13922141,0.0,88.19,5954.05
2022-08-20,2022-08-20,Service payment - Customer_0057,REF17908920,0.0,121.68,6075.73
2022-08-20,2022-08-20,Payment from Customer_0022,REF73468157,0.0,73.52,6149.25
2022-08-21,2022-08-21,Payment from Customer_0035,REF67851168,0.0,120.45,6269.7
2022-08-21,2022-08-21,Service payment - Customer_0026,REF28495946,0.0,104.73,6374.43
2022-08-21,2022-08-21,Payment from Customer_0054,REF47549345,0.0,77.28,6451.71
2022-08-21,2022-08-21,Service payment - Customer_0048,REF60207883,0.0,108.73,6560.44
2022-08-21,2022-08-21,Project payment - Customer_0070,REF46125856,0.0,71.64,6632.08
2022-08-21,2022-08-21,Service payment - Customer_0082,REF59774835,0.0,166.94,6799.02
2022-08-21,2022-08-21,Invoice payment - Customer_0072,REF46060310,0.0,149.63,6948.65
2022-08-21,2022-08-21,Payment from Customer_0025,REF18785755,0.0,117.7,7066.35
2022-08-21,2022-08-21,Service payment - Customer_0090,REF22810093,0.0,93.92,7160.27
2022-08-21,2022-08-21,Payment from Customer_0091,REF68034614,0.0,130.19,7290.46
2022-08-21,2022-08-21,Service payment - Customer_0001,REF36728165,0.0,54.12,7344.58
2022-08-22,2022-08-22,Invoice payment - Customer_0049,REF97763983,0.0,99.41,7443.99
2022-08-22,2022-08-22,Project payment - Customer_0073,REF71809382,0.0,122.66,7566.65
2022-08-22,2022-08-22,Project payment - Customer_0078,REF67263263,0.0,120.26,7686.91
2022-08-22,2022-08-22,Payment from Customer_0062,REF74169470,0.0,75.04,7761.95
2022-08-22,2022-08-22,Invoice payment - Customer_0075,REF98125399,0.0,138.45,7900.4
2022-08-22,2022-08-22,Invoice payment - Customer_0085,REF37505353,0.0,106.51,8006.91
2022-08-22,2022-08-22,Service payment - Customer_0005,REF40167747,0.0,30.04,8036.95
2022-08-22,2022-08-22,Service payment - Customer_0011,REF10897324,0.0,74.53,8111.48
2022-08-22,2022-08-22,Invoice payment - Customer_0089,REF95708110,0.0,122.47,8233.95
2022-08-22,2022-08-22,Utility bill payment,REF64294783,139.34,0.0,8094.61
2022-08-23,2022-08-23,Service payment - Customer_0089,REF67685263,0.0,151.39,8246.0
2022-08-23,2022-08-23,Invoice payment - Customer_0044,REF67270183,0.0,34.43,8280.43
2022-08-23,2022-08-23,Service payment - Customer_0028,REF82890743,0.0,74.59,8355.02
2022-08-23,2022-08-23,Invoice payment - Customer_0059,REF48119552,0.0,71.0,8426.02
2022-08-23,2022-08-23,Project payment - Customer_0083,REF94860724,0.0,77.53,8503.55
2022-08-23,2022-08-23,Payment from Customer_0099,REF76108681,0.0,33.47,8537.02
2022-08-23,2022-08-23,Project payment - Customer_0033,REF96837621,0.0,65.06,8602.08
2022-08-23,2022-08-23,Service payment - Customer_0048,REF79968727,0.0,124.52,8726.6
2022-08-23,2022-08-23,Invoice payment - Customer_0084,REF43562373,0.0,73.82,8800.42
2022-08-24,2022-08-24,Service payment - Customer_0041,REF82039148,0.0,131.42,8931.84
2022-08-24,2022-08-24,Payment from Customer_0060,REF57191148,0.0,55.78,8987.62
2022-08-24,2022-08-24,Payment from Customer_0084,REF98602130,0.0,81.99,9069.61
2022-08-24,2022-08-24,Service payment - Customer_0012,REF53997932,0.0,86.81,9156.42
2022-08-24,2022-08-24,Project payment - Customer_0058,REF13468746,0.0,25.98,9182.4
2022-08-24,2022-08-24,Packaging Shipping expense,REF54422644,156.27,0.0,9026.13
2022-08-24,2022-08-24,Payment from Customer_0016,REF52224464,0.0,30.97,9057.1
2022-08-24,2022-08-24,Service payment - Customer_0093,REF59540659,0.0,94.78,9151.88
2022-08-24,2022-08-24,Project payment - Customer_0053,REF76977524,0.0,100.91,9252.79
2022-08-24,2022-08-24,Payment from Customer_0047,REF84898446,0.0,103.74,9356.53
2022-08-24,2022-08-24,Service payment - Customer_0045,REF30741581,0.0,110.41,9466.94
2022-08-24,2022-08-24,Service payment - Customer_0006,REF97222187,0.0,69.33,9536.27
2022-08-25,2022-08-25,Service payment - Customer_0006,REF90325749,0.0,107.16,9643.43
2022-08-25,2022-08-25,Project payment - Customer_0062,REF14852212,0.0,62.55,9705.98
