transaction_date,value_date,description,reference,debit,credit,balance
2012-08-21,2012-08-21,Professional software license,REF52388430,186.79,0.0,4925.86
2012-08-22,2012-08-22,Business meal,REF21278199,245.04,0.0,4680.82
2012-08-25,2012-08-25,Equipment purchase,REF21597614,99.52,0.0,4581.3
2012-08-29,2012-08-29,Accounting expense,REF66761056,105.25,0.0,4476.05
2012-08-30,2012-08-30,Marketing expenses,REF81633080,307.42,0.0,4168.63
2012-08-30,2012-08-30,Equipment purchase,REF13541062,92.97,0.0,4075.66
2012-08-30,2012-08-30,Business travel,REF68887945,496.92,0.0,3578.74
2012-09-01,2012-09-01,Accounting expense,REF46400415,197.77,0.0,3380.97
2012-09-03,2012-09-03,Training/conference,REF20524164,280.19,0.0,3100.78
2012-09-06,2012-09-06,Equipment purchase,REF47907923,147.74,0.0,2953.04
2012-09-10,2012-09-10,Coworking space rental,REF58983425,440.98,0.0,2512.06
2012-09-10,2012-09-10,Accounting expense,REF82712644,271.22,0.0,2240.84
2012-09-11,2012-09-11,Equipment purchase,REF94784253,80.23,0.0,2160.61
2012-09-13,2012-09-13,Training/conference,REF86683174,215.85,0.0,1944.76
2012-09-15,2012-09-15,"Project payment - Nguyen, Palmer and Gonzalez",REF97387921,0.0,555.15,2499.91
2012-09-15,2012-09-15,Payment from Rhodes-Jefferson,REF23673997,0.0,558.98,3058.89
2012-09-15,2012-09-15,Business insurance premium,REF97661662,149.25,0.0,2909.64
2012-09-15,2012-09-15,"Service payment - Fuentes, Stephens and Lee",REF92937677,0.0,689.02,3598.66
2012-09-15,2012-09-15,Payment from Thomas-Smith,REF42049467,0.0,477.04,4075.7
2012-09-15,2012-09-15,Project payment - Neal-Lopez,REF68531302,0.0,619.01,4694.71
2012-09-15,2012-09-15,"Payment from Rhodes, Schmidt and Benitez",REF97250569,0.0,844.75,5539.46
2012-09-15,2012-09-15,Project payment - Ayala-French,REF43538663,0.0,316.83,5856.29
2012-09-15,2012-09-15,Invoice payment - Schmidt-Moran,REF94352114,0.0,629.91,6486.2
2012-09-20,2012-09-20,Business meal,REF21653235,205.46,0.0,6280.74
2012-09-20,2012-09-20,Business travel,REF47158331,368.97,0.0,5911.77
2012-09-21,2012-09-21,Professional software license,REF94980393,226.05,0.0,5685.72
2012-10-03,2012-10-03,Accounting expense,REF42840738,315.68,0.0,5370.04
2012-10-05,2012-10-05,Business meal,REF55574447,326.4,0.0,5043.64
2012-10-06,2012-10-06,Marketing expenses,REF38693329,376.17,0.0,4667.47
2012-10-13,2012-10-13,Marketing expenses,REF98985255,456.31,0.0,4211.16
2012-10-15,2012-10-15,Invoice payment - Rhodes-Jefferson,REF86527809,0.0,626.91,4838.07
2012-10-15,2012-10-15,"Invoice payment - Nguyen, Palmer and Gonzalez",REF67034445,0.0,941.75,5779.82
2012-10-15,2012-10-15,Business insurance premium,REF83063506,179.54,0.0,5600.28
2012-10-15,2012-10-15,"Invoice payment - Rhodes, Schmidt and Benitez",REF38321572,0.0,1115.82,6716.1
